id,@id,electrified,frequency,gauge,operator,railway,railway:block,tracks,usage,voltage,@timestamp,@version,@changeset,@user,@uid,bridge,layer,maxspeed,name,tunnel,year_of_construction,passenger_lines,railway:track_ref,service,railway:traffic_mode,covered,railway:ref,description,ele,light_rail,local_ref,network,public_transport,train,uic_name,uic_ref,ref,old_name,crossing:barrier,crossing:light,crossing:bell,supervised,railway:signal:main:form,crossing,horse,start_date
way/326745649,way/326745649,contact_line,"0","1000",AVA,narrow_gauge,"104","1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326745650,way/326745650,contact_line,"0","1000",AVA,narrow_gauge,"104","1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,"65",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326759034,way/326759034,contact_line,"0","1000",AVA,narrow_gauge,"109","1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,"80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326759035,way/326759035,contact_line,"0","1000",AVA,narrow_gauge,"109","1",branch,"750",2019/07/09 17:05:40,"4","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327718936,way/327718936,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:41,"5","72064035",sovereign_ch,"5755216",,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327728679,way/327728679,contact_line,"0","1000",AVA,narrow_gauge,W4,"1",branch,"750",2019/07/09 17:05:41,"4","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327737489,way/327737489,contact_line,"0","1000",AVA,narrow_gauge,"301","1",branch,"750",2019/07/09 17:05:41,"5","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327737493,way/327737493,contact_line,"0","1000",AVA,narrow_gauge,"301","1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/327738410,way/327738410,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/327738411,way/327738411,contact_line,"0","1000",AVA,narrow_gauge,,"1",,"750",2019/07/09 17:05:41,"4","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
